# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.820149683186e+04       2.160441978131e-06       2.444134536564e+01       7.746224121809e+02       1.454330806272e+04       7.989732505963e-01       2.647245189363e+08       1.398572734635e+01       3.020667538351e+05       1.478445805429e+04       7.422828668000e+04       3.601553394783e-08       2.089603828835e+05       6.000398814529e+05       3.331219654854e-04       2.336142098737e-01 
       1.807493245666e+04       2.190018799311e-06       2.460583515553e+01       7.642843728217e+02       1.454314357293e+04       8.045584153290e-01       2.628808809318e+08       1.407899329821e+01       2.937527299426e+05       1.447820250060e+04       7.269067028894e+04       3.601553394783e-08       2.032089998073e+05       5.841306025395e+05       3.336666301665e-04       2.346673743906e-01 
       1.794924790740e+04       2.219995689410e-06       2.477139071534e+01       7.540866188572e+02       1.454297801737e+04       8.101825719840e-01       2.610500607236e+08       1.417285186973e+01       2.856675272691e+05       1.417829048034e+04       7.118490285826e+04       3.601553394783e-08       1.976159081318e+05       5.686466287395e+05       3.342146474552e-04       2.357250809381e-01 
       1.782443706826e+04       2.250377966669e-06       2.493801843715e+01       7.440272274881e+02       1.454281138965e+04       8.158459921042e-01       2.592319692217e+08       1.426730645619e+01       2.778048484035e+05       1.388459060590e+04       6.971032473052e+04       3.601553394783e-08       1.921767515037e+05       5.535765152437e+05       3.347660415627e-04       2.367873319765e-01 
       1.770049386596e+04       2.281171018278e-06       2.510572474530e+01       7.341043024114e+02       1.454264368334e+04       8.215489491148e-01       2.574265179554e+08       1.436236046778e+01       2.701585692401e+05       1.359697421087e+04       6.826628991055e+04       3.601553394783e-08       1.868872934573e+05       5.389091268189e+05       3.353208368731e-04       2.378541297632e-01 
       1.757741226942e+04       2.312380301241e-06       2.527451609641e+01       7.243159734541e+02       1.454247489199e+04       8.272917183362e-01       2.556336190690e+08       1.445801732959e+01       2.627227342095e+05       1.331531529364e+04       6.685216578256e+04       3.601553394783e-08       1.817434141150e+05       5.246336294007e+05       3.358790579445e-04       2.389254763508e-01 
       1.745518628949e+04       2.344011343248e-06       2.544439897956e+01       7.146603962123e+02       1.454230500910e+04       8.330745769975e-01       2.538531853175e+08       1.455428048170e+01       2.554915516403e+05       1.303949046229e+04       6.546733283302e+04       3.601553394783e-08       1.767411069786e+05       5.107394819143e+05       3.364407295106e-04       2.400013735853e-01 
       1.733380997866e+04       2.376069743556e-06       2.561537991635e+01       7.051357516951e+02       1.454213402817e+04       8.388978042487e-01       2.520851300625e+08       1.465115337909e+01       2.484593892490e+05       1.276937888049e+04       6.411118437930e+04       3.601553394783e-08       1.718764758098e+05       4.972164283187e+05       3.370058764814e-04       2.410818231043e-01 
       1.721327743076e+04       2.408561173890e-06       2.578746546095e+01       6.957402459738e+02       1.454196194262e+04       8.447616811750e-01       2.503293672679e+08       1.474863949172e+01       2.416207697539e+05       1.250486221458e+04       6.278312630393e+04       3.601553394783e-08       1.671457315953e+05       4.840544898677e+05       3.375745239447e-04       2.421668263349e-01 
       1.709358278068e+04       2.441491379335e-06       2.596066220027e+01       6.864721098351e+02       1.454178874588e+04       8.506664908091e-01       2.485858114956e+08       1.484674230451e+01       2.349703666089e+05       1.224582458174e+04       6.148257679436e+04       3.601553394783e-08       1.625451895963e+05       4.712439575814e+05       3.381466971675e-04       2.432563844920e-01 
